,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
128,Vila Velha,-20.3297,-40.2925,75.94,86,75,5.01,BR,1666202510
129,Road Town,18.4167,-64.6167,87.84,74,40,8.05,VG,1666202327
130,Lompoc,34.6391,-120.4579,91.85,33,0,4.61,US,1666202510
131,Podgornoye,51.735,39.1496,48.42,93,75,4.47,RU,1666202511
132,Korostyshiv,50.3172,29.0563,47.48,88,100,10.98,UA,1666202511
133,Garden City,42.3256,-83.331,44.51,78,100,12.66,US,1666201971
134,Kingston,17.997,-76.7936,87.24,76,20,12.66,JM,1666202368
135,Grindavik,63.8424,-22.4338,41.47,100,100,11.5,IS,1666202512
136,Takoradze,4.8845,-1.7554,79.63,80,43,11.92,GH,1666202512
137,Puerto Baquerizo Moreno,-0.9,-89.6,68.9,82,94,11.79,EC,1666202514
138,Saint-Philippe,-21.3585,55.7679,71.19,77,44,8.77,RE,1666202514
139,Mayor Pablo Lagerenza,-19.9309,-60.7718,92.52,40,59,9.08,PY,1666202514
140,Abu Dhabi,24.4667,54.3667,87.91,66,0,5.75,AE,1666202245
141,Muros,42.7762,-9.0603,62.15,84,35,16.75,ES,1666202476
142,Vila Franca do Campo,37.7167,-25.4333,66.61,71,94,22.48,PT,1666202516
143,Sitka,57.0531,-135.33,52.38,92,100,18.61,US,1666202516
144,Havøysund,70.9963,24.6622,37.63,69,100,29.08,NO,1666202516
145,Sassandra,4.95,-6.0833,77.77,84,79,6.87,CI,1666202517
146,Erzin,36.9559,36.2,68.27,77,3,2.53,TR,1666202517
147,New Norfolk,-42.7826,147.0587,46.71,64,60,3.02,AU,1666202517
148,Airai,-8.9266,125.4092,63.32,88,100,0.36,TL,1666202518
149,Kloulklubed,7.0419,134.2556,84.38,75,98,13.15,PW,1666202519
150,Cherskiy,68.75,161.3,19.36,95,100,8.03,RU,1666202519
151,Bud,39.447,-86.1758,51.75,47,8,14.56,US,1666202520
152,Kidal,18.4411,1.4078,87.84,16,4,10.4,ML,1666202520
153,Itarema,-2.9248,-39.9167,85.21,60,95,20.13,BR,1666202520
154,Auki,-8.7676,160.7034,77.05,84,43,1.36,SB,1666202521
155,Mar del Plata,-38.0023,-57.5575,62.62,92,40,15.01,AR,1666202521
156,Laas,46.6166,10.7002,58.37,72,18,1.59,IT,1666202521
157,North Myrtle Beach,33.816,-78.68,61.11,48,0,4.0,US,1666202413
158,Kruisfontein,-34.0033,24.7314,76.15,59,56,4.61,ZA,1666202522
159,Navahrudak,53.6,25.8333,38.59,66,10,14.36,BY,1666202522
160,Ponta do Sol,32.6667,-17.1,75.83,75,97,9.89,PT,1666202523
161,Kiryat Gat,31.61,34.7642,74.08,100,44,4.79,IL,1666202322
162,Alofi,-19.0595,-169.9187,76.89,79,18,6.33,NU,1666202523
163,Novyy Urgal,51.0736,132.5642,32.74,69,100,3.69,RU,1666202524
164,Kumul,42.8,93.45,52.2,46,57,7.87,CN,1666202524
165,Cabedelo,-6.9811,-34.8339,80.94,66,39,17.65,BR,1666202525
166,Ribeira Grande,38.5167,-28.7,66.6,77,40,21.85,PT,1666202525
167,Port Macquarie,-31.4333,152.9167,63.9,95,100,10.49,AU,1666202364
168,Den Helder,52.9599,4.7593,52.97,83,100,18.01,NL,1666202526
169,Pimentel,-6.8367,-79.9342,65.34,77,83,17.0,PE,1666202526
170,Lao Cai,22.4833,103.95,67.19,61,97,0.29,VN,1666202527
171,Husavik,66.0449,-17.3389,35.11,78,96,10.11,IS,1666202528
172,Abhā,18.2164,42.5053,62.11,55,4,3.09,SA,1666202529
173,Altona,53.55,9.9333,49.66,75,0,5.75,DE,1666202238
174,Binabalian Ricor,16.4202,119.9279,79.81,86,100,12.35,PH,1666202530
175,Port Lincoln,-34.7333,135.8667,56.77,88,40,9.51,AU,1666202530
176,George Town,5.4112,100.3354,80.53,88,40,13.0,MY,1666202361
177,Gamboula,4.1178,15.1393,70.83,94,89,2.24,CF,1666202531
178,Marzuq,14.4,46.4667,73.56,24,27,2.73,YE,1666202532
179,Narsaq,60.9167,-46.05,41.22,97,100,12.95,GL,1666202532
180,São Filipe,14.8961,-24.4956,80.13,80,60,9.01,CV,1666202533
181,Bognor Regis,50.7821,-0.6798,63.1,87,81,23.96,GB,1666202533
182,Zaraza,9.3503,-65.3245,88.29,60,67,1.54,VE,1666202534
183,Norman Wells,65.282,-126.8329,30.24,100,100,0.0,CA,1666202534
184,Iqaluit,63.7506,-68.5145,23.47,61,16,6.67,CA,1666202414
185,Eureka,40.8021,-124.1637,65.59,43,0,4.97,US,1666202535
186,Bosaso,11.2842,49.1816,81.14,64,0,2.53,SO,1666202535
187,Maniitsoq,65.4167,-52.9,29.46,65,83,25.7,GL,1666202536
188,Madison,34.7334,-86.5667,57.43,34,0,5.99,US,1666202094
189,Bengkulu,-3.8004,102.2655,75.38,91,100,4.61,ID,1666202537
190,Tuatapere,-46.1333,167.6833,39.58,87,99,5.55,NZ,1666202538
191,Barra,-11.0894,-43.1417,92.07,26,19,7.34,BR,1666202538
192,Torbay,47.6666,-52.7314,61.29,91,4,3.0,CA,1666202424
193,Minsk,53.9,27.5667,38.95,73,14,15.59,BY,1666202410
194,Yamada,39.4667,141.95,45.81,70,2,5.66,JP,1666202540
195,Plettenberg Bay,-34.0527,23.3716,71.71,74,55,0.51,ZA,1666202542
196,Havre-St-Pierre,50.2334,-63.5986,50.36,100,100,14.97,CA,1666202542
197,İskenderun,36.5872,36.1735,70.63,78,10,3.29,TR,1666202543
198,Tuktoyaktuk,69.4541,-133.0374,23.0,100,100,0.0,CA,1666202544
199,Londoko,49.0333,131.9833,31.1,74,79,1.23,RU,1666202544
200,Canyon Lake,29.8752,-98.2625,72.95,34,0,5.99,US,1666202305
201,Colares,38.7992,-9.4469,63.79,95,40,21.0,PT,1666202545
202,Grand Gaube,-20.0064,57.6608,70.38,72,51,1.01,MU,1666202545
203,Quirinópolis,-18.4483,-50.4517,97.77,21,36,4.07,BR,1666202546
204,Saldanha,-33.0117,17.9442,61.84,93,38,10.89,ZA,1666202547
205,Pevek,69.7008,170.3133,27.28,96,100,5.84,RU,1666202547
206,Brownsville,25.9018,-97.4975,75.94,43,20,11.01,US,1666202415
207,Saskylakh,71.9167,114.0833,4.75,93,71,8.25,RU,1666202549
208,Cabo San Lucas,22.8909,-109.9124,88.61,65,31,1.97,MX,1666202334
209,Kyzyl-Suu,42.3414,78.0056,38.07,97,100,2.19,KG,1666202550
210,Buala,-8.145,159.5921,79.59,79,77,3.53,SB,1666202551
211,Kilindoni,-7.9139,39.6668,76.82,73,17,15.12,TZ,1666202551
212,Codrington,-38.2667,141.9667,49.41,95,3,7.78,AU,1666202552
213,Dubbo,-32.25,148.6167,62.73,94,100,11.5,AU,1666202368
214,Trabzon Province,40.9167,39.8333,62.69,83,75,2.3,TR,1666202553
215,Angoche,-16.2325,39.9086,76.78,79,0,9.62,MZ,1666202557
216,Bathsheba,13.2167,-59.5167,83.75,75,26,13.56,BB,1666202559
217,Basoko,1.2391,23.616,72.43,89,96,1.21,CD,1666202560
218,Baykit,61.67,96.37,33.39,87,100,2.66,RU,1666202560
219,Nanortalik,60.1432,-45.2371,36.86,96,100,23.09,GL,1666202561
220,Bundaberg,-24.85,152.35,67.21,98,100,10.02,AU,1666202561
221,Diamantino,-14.4086,-56.4461,96.89,29,99,6.67,BR,1666202563
222,Kaitangata,-46.2817,169.8464,39.16,89,89,5.61,NZ,1666202563
223,Santa Isabel Rio Negro,-0.4139,-65.0192,82.29,87,66,3.53,BR,1666202563
224,Palembang,-2.9167,104.7458,77.09,88,40,2.3,ID,1666202564
225,Walvis Bay,-22.9575,14.5053,63.55,77,44,11.5,NA,1666202378
226,Yangi Marg`ilon,40.4272,71.7189,45.32,76,82,2.3,UZ,1666202564
227,Nome,64.5011,-165.4064,33.17,95,100,17.78,US,1666202565
228,Port Hardy,50.6996,-127.4199,57.07,84,100,1.66,CA,1666202565
229,Ulaanbaatar,47.9077,106.8832,40.24,44,100,4.81,MN,1666202513
230,Sept-Îles,50.2001,-66.3821,49.05,96,100,15.99,CA,1666202409
231,Bandrele,-12.9067,45.1914,74.95,83,0,4.61,YT,1666202566
232,Zakamensk,50.3741,103.2863,31.08,73,100,3.02,RU,1666202567
233,Srednekolymsk,67.45,153.6833,12.38,93,100,20.94,RU,1666202567
234,Vanimo,-2.6741,141.3028,76.98,91,98,4.25,PG,1666202567
235,Cervantes,-39.05,-67.3833,81.79,25,11,14.29,AR,1666202347
236,Fortuna,40.5982,-124.1573,65.32,59,0,0.0,US,1666202568
237,Nizhnevartovsk,60.9344,76.5531,39.22,100,100,8.99,RU,1666202568
238,Ormara,25.2088,64.6357,80.47,67,25,7.7,PK,1666202568
239,Upernavik,72.7868,-56.1549,19.17,93,86,2.86,GL,1666202569
240,Pitimbu,-7.4706,-34.8086,80.8,64,64,15.84,BR,1666202569
241,Biak,-0.9131,122.8766,76.68,88,87,0.6,ID,1666202570
242,Tandil,-37.3217,-59.1332,72.68,47,40,10.85,AR,1666202354
243,Hamilton,39.1834,-84.5333,53.22,53,60,5.99,US,1666202253
244,Leningradskiy,69.3833,178.4167,28.13,90,100,23.2,RU,1666202570
245,Roebourne,-20.7833,117.1333,75.72,58,0,8.25,AU,1666202571
246,Constitución,-35.3333,-72.4167,60.51,68,3,9.75,CL,1666202571
247,Dalianwan,39.0286,121.695,55.44,58,0,6.71,CN,1666202572
248,Nogales,31.3086,-110.9422,73.31,46,23,8.39,MX,1666202415
249,Chapayeve,49.3662,35.8749,50.0,90,100,5.53,UA,1666202572
250,Karratha,-20.7377,116.8463,75.58,64,0,8.79,AU,1666202507
251,Kushikino,31.7167,130.2667,56.23,78,0,5.5,JP,1666202573
252,Phalaborwa,-23.943,31.1411,78.69,47,93,6.15,ZA,1666202573
253,Salta,-24.7859,-65.4117,78.58,51,40,8.05,AR,1666202388
254,Keti Bandar,24.1447,67.4497,79.92,68,2,8.05,PK,1666202573
255,Onega,63.9061,38.1404,38.46,80,98,13.11,RU,1666202574
256,Dalaba,10.7,-12.25,68.13,82,24,4.7,GN,1666202574
257,Aklavik,68.2191,-135.0107,26.13,95,100,6.69,CA,1666202575
258,Aksha,50.2814,113.2867,40.08,59,100,2.15,RU,1666202575
259,Balvi,57.1313,27.2658,36.81,84,52,8.77,LV,1666202575
260,Alice Springs,-23.7,133.8833,58.55,82,0,0.0,AU,1666202284
261,Monrovia,6.3005,-10.7969,77.77,82,100,4.85,LR,1666202400
262,Taltal,-25.4,-70.4833,64.24,61,15,7.58,CL,1666202511
263,Aykhal,66.0,111.5,16.34,91,95,6.78,RU,1666202576
264,Iwaki,37.05,140.8833,47.01,84,0,6.98,JP,1666202576
265,Haines Junction,60.7522,-137.5108,40.01,95,100,2.95,CA,1666202577
266,Wanning,18.8003,110.3967,75.81,92,100,4.09,CN,1666202577
267,Marsh Harbour,26.5412,-77.0636,80.17,76,100,11.21,BS,1666202577
268,Sherpur,25.0188,90.0175,71.67,76,0,8.21,BD,1666202578
269,Bethel,41.3712,-73.414,54.55,51,75,13.8,US,1666202578
270,Souillac,-20.5167,57.5167,70.83,73,79,11.74,MU,1666202579
271,Stephenville,32.2207,-98.2023,67.15,26,0,5.75,US,1666202567
272,Maceió,-9.6658,-35.7353,83.64,61,40,17.27,BR,1666202579
273,Jacqueville,5.2052,-4.4146,79.34,81,73,9.51,CI,1666202580
274,Tonekābon,36.8163,50.8738,69.75,73,35,6.8,IR,1666202580
275,Mogadishu,2.0371,45.3438,77.61,79,8,12.19,SO,1666202429
276,Miyako,39.6367,141.9525,45.93,72,2,6.02,JP,1666202581
277,Manavālakurichi,8.1333,77.3,78.78,85,100,11.41,IN,1666202582
278,Man,7.4125,-7.5538,73.44,89,98,1.7,CI,1666202583
279,Flinders,-34.5833,150.8552,62.38,89,100,4.0,AU,1666202583
280,Juneau,58.3019,-134.4197,52.21,100,100,11.68,US,1666202446
281,Kemijärvi,66.7131,27.4306,35.1,89,100,8.21,FI,1666202584
282,Katsina,12.9894,7.6006,85.19,23,61,3.11,NG,1666202584
283,San Felipe,10.3399,-68.7425,84.78,69,51,4.88,VE,1666202584
284,Bran,45.5167,25.35,47.28,86,43,3.96,RO,1666202585
285,Iquitos,-3.7481,-73.2472,80.64,94,75,5.75,PE,1666202585
286,Katsuura,35.1333,140.3,58.59,63,44,14.32,JP,1666202586
287,Aleksandrovskoye,44.7142,43.0008,56.98,66,43,2.39,RU,1666202587
288,Vestmannaeyjar,63.4427,-20.2734,41.99,100,100,5.75,IS,1666202588
289,Vila,42.0304,-8.1588,52.68,92,76,8.59,PT,1666202588
290,Sena Madureira,-9.0656,-68.6569,91.76,43,94,2.3,BR,1666202588
291,Tortolì,39.9256,9.6572,67.96,72,0,2.19,IT,1666202589
292,Northam,51.0333,-4.2167,63.61,85,100,24.38,GB,1666202590
293,Palāsa,18.7667,84.4167,75.83,88,16,4.7,IN,1666202343
294,Pisco,-13.7,-76.2167,64.45,72,0,10.36,PE,1666202590
295,Dingle,10.9995,122.6711,76.46,90,99,1.63,PH,1666202591
296,Apac,1.9756,32.5386,69.22,81,98,3.31,UG,1666202591
297,Praskoveya,44.7444,44.2031,57.38,68,20,1.68,RU,1666202592
298,Yulara,-25.2406,130.9889,63.14,64,0,6.67,AU,1666202482
299,Palmerston,-12.486,130.9833,76.98,88,66,3.44,AU,1666202593
300,Ouanaminthe,19.55,-71.7333,89.69,54,18,11.39,HT,1666202593
301,Saint George,37.1041,-113.5841,72.79,25,0,3.44,US,1666202427
302,Saint-François,46.4154,3.9054,65.64,72,0,4.61,FR,1666202594
303,Jiangmen,22.5833,113.0833,72.99,32,100,4.38,CN,1666202594
304,Svetlaya,46.5389,138.3297,42.28,58,72,9.4,RU,1666202595
305,Boden,65.8252,21.6886,41.0,75,88,8.01,SE,1666202596
306,São João da Barra,-21.6403,-41.0511,78.89,77,69,20.29,BR,1666202596
307,Barcelos,41.5388,-8.6151,63.84,86,75,12.03,PT,1666202597
308,Krasnoarmeysk,51.0239,45.6969,53.98,43,100,15.66,RU,1666202430
309,Omiš,43.4447,16.6886,73.33,63,0,7.72,HR,1666202598
310,Taoudenni,22.6783,-3.9836,92.7,14,100,3.49,ML,1666202598
311,Pareora,-44.4871,171.2132,48.18,95,66,7.81,NZ,1666202350
312,Hīt,33.6416,42.8251,84.25,14,51,4.99,IQ,1666202598
313,Chapais,49.7834,-74.8492,37.18,62,26,5.55,CA,1666202599
314,Yatou,37.15,122.3833,52.52,62,0,6.71,CN,1666202599
315,Peterhead,57.5058,-1.7981,48.6,73,100,15.7,GB,1666202600
316,Spearfish,44.4908,-103.8594,68.85,30,0,19.57,US,1666202600
317,Saqqez,36.2499,46.2735,60.8,30,33,2.77,IR,1666202601
318,Biltine,14.5333,20.9167,89.53,19,10,6.29,TD,1666202601
319,Saint-Pierre,-21.3393,55.4781,71.28,64,0,12.66,RE,1666202601
320,Sobolevo,54.4299,31.8996,39.69,85,98,14.18,RU,1666202602
321,Tahe,52.3333,124.7333,29.14,80,3,3.83,CN,1666202602
322,Iquique,-20.2208,-70.1431,64.44,66,6,9.06,CL,1666202603
323,Bambanglipuro,-7.95,110.2833,76.87,89,100,4.41,ID,1666202603
324,Dīr,35.2058,71.8756,52.09,91,100,2.37,PK,1666202605
325,Flagstaff,35.1981,-111.6513,66.6,46,0,3.0,US,1666202042
326,Ilulissat,69.2167,-51.1,28.42,69,75,14.97,GL,1666202606
327,Weligama,5.9667,80.4167,77.16,90,100,8.88,LK,1666202607
328,Pemangkat,1.1667,108.9667,78.49,84,98,3.24,ID,1666202608
329,Vicksburg,32.3526,-90.8779,60.48,25,0,8.05,US,1666202608
330,Corner Brook,48.9667,-57.9484,62.22,82,100,10.0,CA,1666202413
331,Half Moon Bay,37.4636,-122.4286,84.87,50,0,0.0,US,1666202366
332,Nerchinskiy Zavod,51.3088,119.61,31.24,70,49,3.69,RU,1666202609
333,Caravelas,-17.7125,-39.2481,80.04,63,41,10.18,BR,1666202609
334,Lyuban',52.7985,28.0048,40.46,72,42,12.59,BY,1666202610
335,Samarai,-10.6167,150.6667,81.63,79,41,14.14,PG,1666202610
336,Saint-Leu,-21.15,55.2833,70.66,75,36,11.16,RE,1666202611
337,Tasiilaq,65.6145,-37.6368,33.96,88,56,2.04,GL,1666202611
338,Jalu,29.0331,21.5482,72.5,44,31,9.01,LY,1666202611
339,Knysna,-34.0363,23.0471,72.93,72,34,4.99,ZA,1666202612
340,Kalianget,-7.05,113.9333,80.69,79,99,3.65,ID,1666202613
341,Annau,37.8876,58.516,62.13,51,0,11.14,TM,1666202613
342,Iskateley,67.6803,53.1512,34.07,77,100,10.87,RU,1666202613
343,Fort Nelson,58.8053,-122.7002,58.93,50,100,4.7,CA,1666202614
344,Calbuco,-41.768,-73.1273,63.61,81,83,2.44,CL,1666202614
345,Tommot,58.9564,126.2925,25.9,91,100,10.76,RU,1666202615
346,Tura,25.5198,90.2201,67.6,73,0,4.05,IN,1666202616
347,General Roca,-39.0333,-67.5833,81.63,24,29,13.44,AR,1666202616
348,Lagoa,39.05,-27.9833,65.14,79,100,32.32,PT,1666202617
349,Kutum,14.2,24.6667,81.12,21,6,6.38,SD,1666202617
350,Bamnet Narong,15.4992,101.6897,68.34,75,8,7.11,TH,1666202617
351,Pontes e Lacerda,-15.2261,-59.3353,92.14,43,87,2.53,BR,1666202618
352,Cap-aux-Meules,47.3821,-61.8597,55.13,95,100,24.0,CA,1666202618
353,Mount Gambier,-37.8333,140.7667,51.71,93,100,8.05,AU,1666202619
354,Khovd,48.0056,91.6419,33.31,68,41,3.67,MN,1666202619
355,Florianópolis,-27.6146,-48.5012,76.62,73,20,14.97,BR,1666202619
